SMM-ID,lat,long,name,city,municipality,country,rank,reference,eary_preclassic_2000bc_1000_bc,middle_preclassic_1000bc_400bc,late_preclassic_400bc_100ad,early_classic_250ad_600ad,late_classic_600ad_800ad,terminal_classic_800ad_900ad,early_postclassic_900ad_1200ad,late_postclassic_1200ad_1519ad,post_conquest_1520ad_1697ad,time_check_01,time_check_02,time_no_data_found
79,-90.88887,15.15765,La Lagunita,Canilla,Quiche,Guatemala,2,Ref. 1991;IGM; IAH GT Map,,,,,,,,,,X,X,X
80,-89.0532099,17.83296531,La Milpa,,Orange Walk,Belize,2,Ref. Vaughan 2006,,,X,X,X,X,,,,X,X,
81,-91.30455,13.96297,La Selva,Tiquisate,Escuintla,Guatemala,2,Ref. 1991;IGM; IAH GT Map,,,,,,,,,,X,X,X
82,-91.79721,14.41634,La Tortuga,Retalhuleu,Retalhuleu,Guatemala,2,Ref. 1991;IGM; IAH GT Map,,,,,,,,,,X,X,X
83,-94.04096,18.10335,La Venta,Huimanguillo,Tabasco,Mexico,2,Ref. Witschey 2009,X,X,,,,,,,,X,X,
84,-88.58420821,20.69080935,La Ventana,Tinum,Yucatan,Mexico,2,Ref. Garza and Kurjack 1980,,,,,,,,,,X,X,X
85,-89.57871667,20.17118333,Labna,Oxkutzcab,Yucatan,Mexico,2,Ref. Mayer 2006,,,X,X,X,X,,,,X,X,
86,-90.14611,14.41955,Laguna Ayarza,Castilla,Santa Rosa,Guatemala,2,Ref. 1991;IGM; IAH GT Map,,,,,,,,,,X,X,X
87,-88.65251,17.76752,Lamanai,,Orange Walk,Belize,2,Ref. Witschey 2009,X,X,X,X,X,X,X,X,X,X,X,
88,-89.12694468,17.0411541,Las Ruinas / Arenal,,Cayo,Belize,2,Ref. Webster et al 2004,,,,,,,,,,X,X,X
89,-89.6647,15.29495,Las Tinajas,Ponzos,Alta Verapaz,Guatemala,2,Ref. 1991;IGM; IAH GT Map,,,,,,,,,,X,X,X
90,-90.30597,13.96783,Los Cerritos,Chiquimulilla,Santa Rosa,Guatemala,2,Ref. 1991;IGM; IAH GT Map,,,,,,,,,,X,X,X
91,-90.85587,15.17696,Los Cerritos Chijoj,Canilla,Quiche,Guatemala,2,Ref. 1991;IGM; IAH GT Map,,,,,,,,,,X,X,X
92,-90.49687,15.25523,Los Encuentros,Rabinal,Baja Verapaz,Guatemala,2,Ref. 1991;IGM; IAH GT Map,,,,,,,,,,X,X,X
93,-91.25513,14.87995,Los Tapiales,Totonicapan,Totonicapan,Guatemala,2,Ref. 1991;IGM; IAH GT Map,,,,,,,,,,X,X,X
94,-89.06366121,17.76408811,Maax Na,,Orange Walk,Belize,2,Ref. Vaughan 2006,,,,,,,,,,X,X,X
95,-89.461,20.629,Mayapan,Tecoh,Yucatan,Mexico,2,Ref. Mayer 2006,,,,,,,,X,,X,X,
96,-90.11777,14.43385,Media Cuesta,San Rafael Las Flores,Santa Rosa,Guatemala,2,Ref. 1991;IGM; IAH GT Map,,,,,,,,,,X,X,X
97,-90.66225,14.86795,Mixco Viejo,San Martin Jilotepeque,Chimaltenango,Guatemala,2,Ref. 1991;IGM; IAH GT Map,,,,,,,,X,,X,X,
98,-90.94237,14.22231,Monte Alto,La Democracia,Escuintla,Guatemala,2,Ref. 1991;IGM; IAH GT Map,,X,X,X,,,,,,X,X,
99,-89.54974,20.22863,Muluchtzekel,Oxkutzcab,Yucatan,Mexico,2,Ref. Dunning 1992,,,,,,,,X,,X,,
100,-90.30832,14.03932,Nancinta,Chiquimulilla,Santa Rosa,Guatemala,2,Ref. 1991;IGM; IAH GT Map,,,,,,,,,,X,X,X
101,-87.47702,20.8006,Naranjal,Lazaro Cardenas,Quintana Roo,Mexico,2,Ref. Glover and Estaban 2005,,,X,X,,,,,,X,X,
102,-89.26065,17.13839,Naranjo,Melchor de Mencos,Peten,Guatemala,2,Ref. 1991;IGM; IAH GT Map,,,,,X,,,,,X,X,
103,-90.54045,14.65148,Naranjo,Guatemala,Guatemala,Guatemala,2,Ref. 1991;IGM; IAH GT Map,,,,,X,,,,,X,X,
104,-89.70344,20.31509,Nohpat,Santa Elena,Yucatan,Mexico,2,Ref. Witschey 2009,,,,,X,X,,,,X,X,
105,-90.33919,13.91498,Nueve Cerros,Chiquimulilla,Santa Rosa,Guatemala,2,Ref. 1991;IGM; IAH GT Map,,,,,,,,,,X,X,X
106,-90.38918,14.03902,Obraje o Solis,Chiquimulilla,Santa Rosa,Guatemala,2,Ref. 1991;IGM; IAH GT Map,,,,,,,,,,X,X,X
