SMM-ID,lat,long,name,city,municipality,country,rank,reference,eary_preclassic_2000bc_1000_bc,middle_preclassic_1000bc_400bc,late_preclassic_400bc_100ad,early_classic_250ad_600ad,late_classic_600ad_800ad,terminal_classic_800ad_900ad,early_postclassic_900ad_1200ad,late_postclassic_1200ad_1519ad,post_conquest_1520ad_1697ad,time_check_01,time_check_02,time_no_data_found
3643,-88.42790316,18.37399097,San Andres,,Corozal,Belize,4,Ref. Blom et al 1940,,,,,,,,,,,,
3644,-90.91888,14.374,San Andres Osuna,Siquinala,Escuintla,Guatemala,4,Ref. 1991;IGM; IAH GT Map,,,,,,,,,,,,
3645,-96.48873309,16.17483121,San Andres Paxtlan,San Sebastian Rio Hondo,Oaxaca,Mexico,4,Ref. Blom et al 1940,,,,,,,,,,,,
3646,-95.22525229,18.44344468,San Andres Tuxtla,San Andres Tuxtla,Veracruz,Mexico,4,Ref. Blom et al 1940,,,,,,,,,,,,
3647,-88.50704421,20.65355853,San Angel,Tinum,Yucatan,Mexico,4,Ref. Garza and Kurjack 1980,,,,,,,,,,,,
3648,-87.29244,21.26906,San Angel A,Lazaro Cardenas,Quintana Roo,Mexico,4,Ref. Glover and Estaban 2005,,,,,,,,,,,,
3649,-87.2745,21.29055,San Angel B,Lazaro Cardenas,Quintana Roo,Mexico,4,Ref. Glover and Estaban 2005,,,,,,,,,,,,
3650,-88.85754171,14.98071708,San Antonio,San Antonio,Copan,Honduras,4,Ref. Blom et al 1940,,,,,,,,,,,,
3651,-92.01441021,17.02894347,San Antonio,Chilon,Chiapas,Mexico,4,Ref. Blom et al 1940,,,,,,,,,,,,
3652,-91.85167,16.83509,San Antonio,Ocosingo,Chiapas,Mexico,4,Ref. Pina Chan 1967,,,,,,,,,,,,
3653,-89.5264549,20.90801925,San Antonio,Kanasin,Yucatan,Mexico,4,Ref. Garza and Kurjack 1980,,,,,,,,,,,,
3654,-88.69956733,18.1102001,San Antonio,,Orange Walk,Belize,4,Ref. Masson and Mock 1981 Fig 17.1,,,,,,,,,,,,
3655,-89.99804098,20.99483809,San Antonio 1,Tetiz,Yucatan,Mexico,4,Ref. Robles and Andrews 2003,,,,,,,,,,,,
3656,-89.73950263,21.15447685,San Antonio 2,Merida,Yucatan,Mexico,4,Ref. Robles and Andrews 2003,,,,,,,,,,,,
3657,-88.85958814,21.18026967,San Antonio Camara,Temax,Yucatan,Mexico,4,Ref. Covarrubias; Villanueva 2008,,,,,,,,,,,,
3658,-88.77853589,20.81360485,San Antonio Chuc,Tunkas,Yucatan,Mexico,4,Ref. Covarrubias; Villanueva 2008,,,,,,,,,,,,
3659,-88.82579264,20.79145741,San Antonio Chumbec,Sudzal,Yucatan,Mexico,4,Ref. Covarrubias; Villanueva 2008,,,,,,,,,,,,
3660,-89.1132464,21.26708223,San Antonio Chunmul,Yobain,Yucatan,Mexico,4,Ref. Covarrubias; Villanueva 2008,,,,,,,,,,,,
3661,-87.67618,18.79786,San Antonio I,Othon P. Blanco,Quintana Roo,Mexico,4,Ref. Muller 1959,,,,,,,,,,,,
3662,-92.9328,16.23289,San Antonio I,Villa Corzo,Chiapas,Mexico,4,Ref. Pina Chan 1967,,,,,,,,,,,,
3663,-89.11827,18.37972,San Antonio II,Hopelchen,Campeche,Mexico,4,Ref. Muller 1959,,,,,,,,,,,,
3664,-93.43155,16.37442,San Antonio II,Villaflores,Chiapas,Mexico,4,Ref. Pina Chan 1967,,,,,,,,,,,,
3665,-88.34188,18.48053,San Antonio III,,Corozal,Belize,4,Ref. Muller 1959,,,,,,,,,,,,
3666,-90.97588,14.26787,San Antonio Las Flores,Siquinala,Escuintla,Guatemala,4,Ref. 1991;IGM; IAH GT Map,,,,,,,,,,,,
3667,-89.12444739,20.85698157,San Antonio Much,Hoctun,Yucatan,Mexico,4,Ref. Covarrubias; Villanueva 2008,,,,,,,,,,,,
3668,-89.66954437,21.06350778,San Antonio Ool 1,Merida,Yucatan,Mexico,4,Ref. Robles and Andrews 2003,,,,,,,,,,,,
3669,-88.68488,18.12705,San Antonio or Albion Island,,Orange Walk,Belize,4,Ref. Ashmore 1981 p 158,,,,,,,,,,,,
3670,-89.02693,16.27709,San Antonio or Toledo,,Toledo,Belize,4,Ref. Ashmore 1981 p 158,,,,,,,,,,,,
3671,-91.98656,15.83327,San Antonio Playa Grande,Frontera Comalapa,Chiapas,Mexico,4,Ref. Pina Chan 1967,,,,,,,,,,,,
3672,-89.13657,18.40951,San Antonio Soda,Hopelchen,Campeche,Mexico,4,Ref. Cortes de B 1984,,,,,,,,,,,,
3673,-93.21642,16.74275,San Augustin,Tuxtla Gutierrez,Chiapas,Mexico,4,Ref. Pina Chan 1967,,,,,,,,,,,,
3674,-89.67844091,21.07690991,San Augusto,Merida,Yucatan,Mexico,4,Ref. Robles and Andrews 2003,,,,,,,,,,,,
3675,-96.11016236,18.11716499,San Bartolo,Flores,Peten,Guatemala,4,Ref. Blom et al 1940,X,X,X,X,X,X,,,,,,
3676,-89.40388889,17.54833333,San Bartolo,San Juan Bautista Tuxtepec,Oaxaca,Mexico,4,Ref. Stuart 2005,,X,X,,X,,,,,X,,
3677,-92.54902,16.29457,San Bartolome,Venustiano Carranza,Chiapas,Mexico,4,Ref. Pina Chan 1967,,,,,,,,,,,,
3678,-89.84614919,13.84512932,San Benito,Concepcion de Ataco,Ahuachapan,El Salvador,4,Ref. Blom et al 1940,,,,,,,,,,,,
3679,-86.87815,20.46992,San Benito,Cozumel,Quintana Roo,Mexico,4,Ref. Muller 1959,,,,,,,,,,,,
3680,-89.37166329,21.32653176,San Bruno,Dzemul,Yucatan,Mexico,4,Ref. Garza and Kurjack 1980,,,,,,,,,,,,
3681,-88.35424576,13.54319818,San Buenaventura,Lolotique,San Miguel,El Salvador,4,Ref. Blom et al 1940,,,,,,,,,,,,
3682,-86.03074174,14.94707771,San Buenaventura,Gualaco,Olancho,Honduras,4,Ref. Blom et al 1940,,,,,,,,,,,,
3683,-88.96680167,21.18009469,San Carlos,Temax,Yucatan,Mexico,4,Ref. Covarrubias; Villanueva 2008,,,,,,,,,,,,
3684,-96.35076431,19.39977607,San Carlos,Ursulo Galvan,Veracruz,Mexico,4,Ref. Blom et al 1940,,,,,,,,,,,,
3685,-89.82192702,21.03486293,San Carlos Chac,Hunucma,Yucatan,Mexico,4,Ref. Robles and Andrews 2003,,,,,,,,,,,,
3686,-88.20182168,21.57626912,San Celso,San Felipe,Yucatan,Mexico,4,Ref. Andrews A P et al 1989,,,,,,,,,,,,
3687,-90.41838046,15.39794327,San Christobal,Coban,Alta Verapaz,Guatemala,4,Ref. Blom et al 1940,,,,,,,,,,,,
3688,-89.13566326,20.99487208,San Clemente,Tekanto,Yucatan,Mexico,4,Ref. Covarrubias; Villanueva 2008,,,,,,,,,,,,
3689,-89.49343,17.05818,San Clemente I,Flores,Peten,Guatemala,4,Ref. 1991;IGM; IAH GT Map,,,,,,,,,,,,
3690,-89.47639,17.39447,San Clemente II,Flores,Peten,Guatemala,4,Ref. 1991;IGM; IAH GT Map,,,,,,,,,,,,
3691,-90.52710828,16.4861317,San Clemente's Milpa,La Libertad,Peten,Guatemala,4,Ref. Ford 2004 SEGEPLAN,,,,,,,,,,,,
3692,-92.06108,15.82847,San Coralampio,Frontera Comalapa,Chiapas,Mexico,4,Ref. Pina Chan 1967,,,,,,,,,,,,
3693,-89.14361552,21.34290804,San Crisanto II or Peten Xnuc,Yobain,Yucatan,Mexico,4,Ref. Covarrubias; Villanueva 2008,,,,,,,,,,,,
3694,-88.5823857,13.74127316,San Cristobal,Dolores,Cabanas,El Salvador,4,Ref. Blom et al 1940,,,,,,,,,,,,
3695,-94.53981593,17.80214086,San Cristobal,Minatitlan,Veracruz,Mexico,4,Ref. Blom et al 1940,,,,,,,,,,,,
3696,-95.99206449,18.71754159,San Cristobal,Ignacio De La Llave,Veracruz,Mexico,4,Ref. Blom et al 1940,,,,,,,,,,,,
3697,-95.50674408,16.47390449,San Cristobal,Santa Maria Jalapa Del Marques,Oaxaca,Mexico,4,Ref. Blom et al 1940,,,,,,,,,,,,
3698,-91.97248,16.03888,San Cristobal,La Trinitaria,Chiapas,Mexico,4,Ref. Pina Chan 1967,,,,,,,,,,,,
3699,-91.87725583,15.78055219,San Cristobal,Santa Ana Huista,Huehuetenango,Guatemala,4,Ref. Borgstede 2002,,,,,,,,,,,,
3700,-89.84725878,14.92523784,San Cristobal A,San Cristobal Acasaguastlan,El Progreso,Guatemala,4,Ref. Blom et al 1940,,,,,,,,,,,,
3701,-92.66218,16.71725,San Cristobal de las Casas,San Cristobal De Las Casas,Chiapas,Mexico,4,Ref. Pina Chan 1967,,,,,,,,,,,,
3702,-92.3840093,17.72744423,San Diego,Macuspana,Tabasco,Mexico,4,Ref. Blom et al 1940,,,,,,,,,,,,
3703,-89.96597,16.05862,San Diego,Sayaxche,Peten,Guatemala,4,Ref. Rupert and Dennison 1943,,,,,,,,,,,,
3704,-90.46765561,16.91676816,San Diego,Sayaxche,Peten,Guatemala,4,Ref. Ford 2004 SEGEPLAN,,,,,,,,,,,,
3705,-89.5987,20.29654,San Diego II,Ticul,Yucatan,Mexico,4,Ref. Dunning 1992,,,,,,,,,,,,
3706,-89.59499,20.30382,San Diego l,Ticul,Yucatan,Mexico,4,Ref. Dunning 1992,,,,,,,,,,,,
3707,-88.34318573,21.21425963,San Diego Xtul,Sucila,Yucatan,Mexico,4,Ref. Covarrubias; Villanueva 2008,,,,,,,,,,,,
3708,-94.84092089,16.27829477,San Dionisio,San Dionisio Del Mar,Oaxaca,Mexico,4,Ref. Blom et al 1940,,,,,,,,,,,,
3709,-88.51441,18.13879,San Estevan,,Orange Walk,Belize,4,Ref. Witschey 2009,,,,,,,,,,,,
3710,-89.05394706,17.13611166,San Felipe,,Cayo,Belize,4,Ref. Blom et al 1940,,,,,,,,,,,,
3711,-88.83929006,21.01396745,San Felipe,Tekal De Venegas,Yucatan,Mexico,4,Ref. Covarrubias; Villanueva 2008,,,,,,,,,,,,
3712,-92.18182,15.93678,San Felipe,La Trinitaria,Chiapas,Mexico,4,Ref. Pina Chan 1967,,,,,,,,,,,,
3713,-89.30849959,20.21842779,San Felipe Canahaltun,Tekax De Alvaro Obregon,Yucatan,Mexico,4,Ref. Garza and Kurjack 1980,,,,,,,,,,,,
3714,-88.99306944,15.64908333,San Felipe Castillo,Livingston,Izabal,Guatemala,4,Ref. Emery 2007,,,,,,,,,,,,
3715,-91.15419872,14.42378806,San Fernando,Patulul,Suchitepequez,Guatemala,4,Ref. Blom et al 1940,,,,,,,,,,,,
3716,-93.67666054,18.01053059,San Fernando,Huimanguillo,Tabasco,Mexico,4,Ref. Berlin 1953,,,,,,,,,,,,
3717,-87.87598608,21.56053229,San Fernando Orilla,Rio Lagartos,Yucatan,Mexico,4,Ref. Kepecs 1999,,,,,,,,,,,,
3718,-89.02549521,21.25231959,San Francisco,Dzidzantun,Yucatan,Mexico,4,Ref. Covarrubias; Villanueva 2008,,,,,,,,,,,,
3719,-87.43043,19.87543,San Francisco,Felipe Carrillo Puerto,Quintana Roo,Mexico,4,Ref. Andrews E W; Andrews A P,,,,,,,,,,,,
3720,-92.44312,16.06395,San Francisco,Socoltenango,Chiapas,Mexico,4,Ref. Pina Chan 1967,,,,,,,,,,,,
3721,-92.01936,16.21692,San Francisco,La Independencia,Chiapas,Mexico,4,Ref. Pina Chan 1967,,,,,,,,,,,,
3722,-88.90183398,20.31777075,San Francisco,Tahdziu,Yucatan,Mexico,4,Ref. Brown C T; C Peraza L 2006,,,,,,,,,,,,
3723,-89.73960169,21.1075306,San Francisco,Merida,Yucatan,Mexico,4,Ref. Robles and Andrews 2003,,,,,,,,,,,,
3724,-93.16587,16.29494,San Francisco,Villaflores,Chiapas,Mexico,4,Ref. Pina Chan 1967,,,,,,,,,,,,
3725,-88.56416241,20.70183318,San Francisco Ceme,Tinum,Yucatan,Mexico,4,Ref. Garza and Kurjack 1980,,,,,,,,,,,,
3726,-88.10576778,13.68291178,San Francisco Gotera,San Francisco Gotera,Morazan,El Salvador,4,Ref. Blom et al 1940,,,,,,,,,,,,
3727,-91.99668,15.81945,San Francisco Playa Grande,Frontera Comalapa,Chiapas,Mexico,4,Ref. Pina Chan 1967,,,,,,,,,,,,
3728,-92.22326,16.33301,San Francisco Quixte,Comitan De Dominguez,Chiapas,Mexico,4,Ref. Pina Chan 1967,,,,,,,,,,,,
3729,-95.91638561,17.76473289,San Gabriel,Santiago Jocotepec,Oaxaca,Mexico,4,Ref. Blom et al 1940,,,,,,,,,,,,
3730,-92.38865,15.28813,San Geronimo,Motozintla,Chiapas,Mexico,4,Ref. Pina Chan 1967,,,,,,,,,,,,
3731,-86.8465,20.49995,San Gervasio,Cozumel,Quintana Roo,Mexico,4,Ref. Witschey 2009,,,,,,,,,,,,
3732,-88.76565,15.79402,San Gil de Buena Vista or Nito,Livingston,Izabal,Guatemala,4,Ref. Brown C T 1999,,,,,,,,,,,,
3733,-92.45134,16.78485,San Gregorio,Tenejapa,Chiapas,Mexico,4,Ref. Pina Chan 1967,,,,,,,,,,,,
3734,-91.96787,15.81975,San Gregorio,Frontera Comalapa,Chiapas,Mexico,4,Ref. Pina Chan 1967,,,,,,,,,,,,
3735,-91.24167944,15.21643896,San Isidro,San Pedro Jocopilas,Quiche,Guatemala,4,Ref. Blom et al 1940,,,,,,,,,,,,
3736,-89.59935385,20.73361139,San Isidro,Merida,Yucatan,Mexico,4,Ref. Blom et al 1940,,,,,,,,,,,,
3737,-88.11524737,21.52928984,San Isidro,Rio Lagartos,Yucatan,Mexico,4,Ref. Kepecs 1999,,,,,,,,,,,,
3738,-91.91253,15.89655,San Isidro,La Trinitaria,Chiapas,Mexico,4,Ref. Pina Chan 1967,,,,,,,,,,,,
3739,-88.29738718,21.38252713,San Isidro,Panaba,Yucatan,Mexico,4,Ref. Garza and Kurjack 1980,,,,,,,,,,,,
3740,-90.19126,20.60714,San Isidro,Maxcanu,Yucatan,Mexico,4,Ref. Hixson 2005,,,,,,,,,,,,
3741,-89.09398275,20.20305348,San Isidro Buleb,Tixmehuac,Yucatan,Mexico,4,Ref. Garza and Kurjack 1980,,,,,,,,,,,,
3742,-92.3776,16.00834,San Jacinto,La Concordia,Chiapas,Mexico,4,Ref. Pina Chan 1967,,,,,,,,,,,,
3743,-90.34006,15.12174,San Jacinto Conacaste,Salama,Baja Verapaz,Guatemala,4,Ref. 1991;IGM; IAH GT Map,,,,,,,,,,,,
3744,-95.10480483,16.54819658,San Jeronimo,Cd. Ixtepec,Oaxaca,Mexico,4,Ref. Blom et al 1940,,,,,,,,,,,,
3745,-91.09891,14.04145,San Jeronimo,La Gomera,Escuintla,Guatemala,4,Ref. 1991;IGM; IAH GT Map,,,,,,,,,,,,
3746,-92.13528,15.05813,San Jeronimo,Cacahoatan,Chiapas,Mexico,4,Ref. Pina Chan 1967,,,,,,,,,,,,
3747,-89.86374334,21.05943926,San Jeronimo 1,Hunucma,Yucatan,Mexico,4,Ref. Robles and Andrews 2003,,,,,,,,,,,,
3748,-89.85498761,21.05417045,San Jeronimo 2,Hunucma,Yucatan,Mexico,4,Ref. Robles and Andrews 2003,,,,,,,,,,,,
3749,-91.93733011,16.34905872,San Joaquin,Las Margaritas,Chiapas,Mexico,4,Ref. Blom et al 1940,,,,,,,,,,,,
3750,-90.40726017,15.36201616,San Joaquin,Santa Cruz Verapaz,Alta Verapaz,Guatemala,4,Ref. Blom et al 1940,,,,,,,,,,,,
3751,-91.86325,16.35332,San Joaquin,Las Margaritas,Chiapas,Mexico,4,Ref. Pina Chan 1967,,,,,,,,,,,,
3752,-89.51128,20.21655,San Joaquin,Oxkutzcab,Yucatan,Mexico,4,Ref. Dunning 1992,,,,,,,,,,,,
3753,-93.19585883,18.22757025,San Joaquin,Comalcalco,Tabasco,Mexico,4,Ref. Berlin 1953,,,,,,,,,,,,
3754,-89.93253515,21.03660036,San Joaquin,Hunucma,Yucatan,Mexico,4,Ref. Robles and Andrews 2003,,,,,,,,,,,,
3755,-91.10130412,14.53242105,San Jorge,Pochuta,Chimaltenango,Guatemala,4,Ref. Blom et al 1940,,,,,,,,,,,,
3756,-91.20592392,14.73381277,San Jose,NA,Solola,Guatemala,4,Ref. Blom et al 1940,,,,,,,,,,,,
3757,-91.46007591,17.3699643,San Jose,Palenque,Chiapas,Mexico,4,Ref. West et al 1969,,,,,,,,,,,,
3758,-89.32993477,21.24100863,San Jose,Dzemul,Yucatan,Mexico,4,Ref. Covarrubias; Villanueva 2008,,,,,,,,,,,,
3759,-88.85153273,14.89512611,San Jose,Dulce Nombre,Copan,Honduras,4,Ref. Blom et al 1940,,,,,,,,,,,,
3760,-88.93713727,17.46501935,San Jose,,Orange Walk,Belize,4,Ref. Ashmore et al 1981,,,,,,,,,,,,
3761,-93.34535,16.09114,San Jose,Villa Corzo,Chiapas,Mexico,4,Ref. Pina Chan 1967,,,,,,,,,,,,
3762,-91.43608323,17.39937165,San Jose,Tenosique,Tabasco,Mexico,4,Ref. Berlin 1953,,,,,,,,,,,,
3763,-92.23338,14.87428,San Jose,Tuxtla Chico,Chiapas,Mexico,4,Ref. Pina Chan 1967,,,,,,,,,,,,
3764,-89.90967743,21.04782572,San Jose 1,Hunucma,Yucatan,Mexico,4,Ref. Robles and Andrews 2003,,,,,,,,,,,,
3765,-89.90073269,20.93333593,San Jose Boxactun,Tetiz,Yucatan,Mexico,4,Ref. Robles and Andrews 2003,,,,,,,,,,,,
3766,-88.32345378,14.99991087,San Jose de Colinas,San Jose de Colinas,Santa Barbara,Honduras,4,Ref. Blom et al 1940,,,,,,,,,,,,
3767,-88.73096098,14.83454978,San Jose de Copan,Santa Rosa de Copan,Copan,Honduras,4,Ref. Blom et al 1940,,,,,,,,,,,,
3768,-85.73414025,14.94022553,San Jose de Rio Tinto,Catacamas,Olancho,Honduras,4,Ref. Blom et al 1940,,,,,,,,,,,,
3769,-96.31175267,18.38576898,San Jose del Cacao,Tierra Blanca,Veracruz,Mexico,4,Ref. Blom et al 1940,,,,,,,,,,,,
3770,-91.4331547,14.45843399,San Jose El Idolo,San Jose El Idolo,Suchitepequez,Guatemala,4,Ref. Blom et al 1940,,,,,,,,,,,,
3771,-91.29240718,14.68257345,San Juan,San Andres Semetabaj,Solola,Guatemala,4,Ref. Blom et al 1940,,,,,,,,,,,,
3772,-91.10649405,14.74392834,San Juan,San Andres Semetabaj,Solola,Guatemala,4,Ref. Blom et al 1940,,,,,,,,,,,,
3773,-87.91497374,15.39509303,San Juan,San Manuel,Cortes,Honduras,4,Ref. Blom et al 1940,,,,,,,,,,,,
3774,-91.00689011,14.36520587,San Juan,Tiquisate,Escuintla,Guatemala,4,Ref. Blom et al 1940,,,,,,,,,,,,
3775,-89.31448,18.64974,San Juan,Hopelchen,Campeche,Mexico,4,Ref. Muller 1959,,,,,,,,,,,,
3776,-91.11285,16.65594,San Juan,Ocosingo,Chiapas,Mexico,4,Ref. Pina Chan 1967,,,,,,,,,,,,
3777,-91.2689,13.98231,San Juan,Tiquisate,Escuintla,Guatemala,4,Ref. 1991;IGM; IAH GT Map,,,,,,,,,,,,
3778,-87.72749,20.41644,San Juan,Solidaridad,Quintana Roo,Mexico,4,Ref. Cortes de B 1984,,,,,,,,,,,,
3779,-92.77234,16.47125,San Juan,Acala,Chiapas,Mexico,4,Ref. Pina Chan 1967,,,,,,,,,,,,
3780,-88.52735928,20.66964113,San Juan,Tinum,Yucatan,Mexico,4,Ref. Garza and Kurjack 1980,,,,,,,,,,,,
3781,-88.53063918,20.67326254,San Juan,Tinum,Yucatan,Mexico,4,Ref. Ringle and Bey 2004,,,,,,,,,,,,
3782,-87.9,18.15,San Juan,,Corozal,Belize,4,Ref. Glover and Estaban 2005,,,,,,,,,,,,
3783,-92.14172,15.55042,San Juan Chamique,Amatenango De La Frontera,Chiapas,Mexico,4,Ref. Pina Chan 1967,,,,,,,,,,,,
3784,-92.51367,16.19897,San Juan de la Hamaca,Venustiano Carranza,Chiapas,Mexico,4,Ref. Pina Chan 1967,,,,,,,,,,,,
3785,-89.10674682,13.81784857,San Juan Guayabal,San Jose Guayabal,Cuscatlan,El Salvador,4,Ref. Blom et al 1940,,,,,,,,,,,,
3786,-89.56077238,21.2289506,San Juan I,Progreso,Yucatan,Mexico,4,Ref. Garza and Kurjack 1980,,,,,,,,,,,,
3787,-89.55769749,21.21816226,San Juan II,Progreso,Yucatan,Mexico,4,Ref. Garza and Kurjack 1980,,,,,,,,,,,,
3788,-91.43506876,15.61218267,San Juan Ixcoy,San Juan Ixcoy,Huehuetenango,Guatemala,4,Ref. Blom et al 1940,,,,,,,,,,,,
3789,-95.93521893,16.50764072,San Juan Jarcia,San Juan Lajarcia,Oaxaca,Mexico,4,Ref. Blom et al 1940,,,,,,,,,,,,
3790,-88.89187785,13.47864696,San Juan Nonualco,San Juan Nonualco,La Paz,El Salvador,4,Ref. Blom et al 1940,,,,,,,,,,,,
3791,-87.92577643,21.33981548,San Juan S.,Tizimin,Yucatan,Mexico,4,Ref. Kepecs 1999,,,,,,,,,,,,
3792,-93.29867,16.11082,San Julian,Villa Corzo,Chiapas,Mexico,4,Ref. Pina Chan 1967,,,,,,,,,,,,
3793,-89.22067556,20.82345701,San Lorenzo,Hocaba,Yucatan,Mexico,4,Ref. Covarrubias; Villanueva 2008,,,,,,,,,,,,
3794,-91.47748333,15.2932824,San Lorenzo,Zaculeu,Huehuetenango,Guatemala,4,Ref. Blom et al 1940,,,,,,,,,,,,
3795,-87.60036,19.12087,San Lorenzo,Felipe Carrillo Puerto,Quintana Roo,Mexico,4,Ref. Muller 1959,,,,,,,,,,,,
3796,-90.68727,16.59147,San Lorenzo,Ocosingo,Chiapas,Mexico,4,Ref. Pina Chan 1967,,,,,,,,,,,,
3797,-91.79617,16.10986,San Lorenzo,La Trinitaria,Chiapas,Mexico,4,Ref. Pina Chan 1967,,,,,,,,,,,,
3798,-88.10020416,20.53556009,San Lorenzo,Valladolid,Yucatan,Mexico,4,Ref. Garza and Kurjack 1980,,,,,,,,,,,,
3799,-89.5475158,18.38246297,San Lorenzo,Champoton,Campeche,Mexico,4,Ref. Mayer 2003,,,,,,,,,,,,
3800,-93.37231,16.35087,San Lucas,Villaflores,Chiapas,Mexico,4,Ref. Pina Chan 1967,,,,,,,,,,,,
3801,-89.44398872,16.19988973,San Luis,San Luis,Peten,Guatemala,4,Ref. Ford 2004 SEGEPLAN,,,,,,,,,,,,
3802,-89.84495207,20.9306646,San Luis,Hunucma,Yucatan,Mexico,4,Ref. Robles and Andrews 2003,,,,,,,,,,,,
3803,-92.74805,16.4508,San Luis,Totolapa,Chiapas,Mexico,4,Ref. Pina Chan 1967,,,,,,,,,,,,
3804,-87.73649882,21.09047364,San Luis,Tizimin,Yucatan,Mexico,4,Ref. Garza and Kurjack 1980,,,,,,,,,,,,
3805,-89.76861067,14.69308377,San Luis Jilotepeque,San Luis Jilotepeque,Jalapa,Guatemala,4,Ref. Blom et al 1940,,,,,,,,,,,,
3806,-88.23112,18.58924,San Manuel,Othon P. Blanco,Quintana Roo,Mexico,4,Ref. Cortes de B 1984,,,,,,,,,,,,
3807,-92.02657,17.42977,San Manuel,Palenque,Chiapas,Mexico,4,Ref. Pina Chan 1967,,,,,,,,,,,,
3808,-92.80071,16.51712,San Marcialito,Acala,Chiapas,Mexico,4,Ref. Pina Chan 1967,,,,,,,,,,,,
3809,-86.09926354,14.68963153,San Marcos,Juticalpa,Olancho,Honduras,4,Ref. Blom et al 1940,,,,,,,,,,,,
3810,-88.92038324,14.43630208,San Marcos,San Francisco del Valle,Ocotepeque,Honduras,4,Ref. Blom et al 1940,,,,,,,,,,,,
3811,-89.78166692,21.09330376,San Martin,Ucu,Yucatan,Mexico,4,Ref. Robles and Andrews 2003,,,,,,,,,,,,
3812,-87.98562515,21.4930643,San Martin 1,Tizimin,Yucatan,Mexico,4,Ref. Kepecs 1999,,,,,,,,,,,,
3813,-87.97866317,21.46238756,San Martin 2,Tizimin,Yucatan,Mexico,4,Ref. Kepecs 1999,,,,,,,,,,,,
3814,-87.9700555,21.47418273,San Martin 3,Tizimin,Yucatan,Mexico,4,Ref. Kepecs 1999,,,,,,,,,,,,
3815,-88.36993467,21.18875086,San Martin I,Sucila,Yucatan,Mexico,4,Ref. Covarrubias; Villanueva 2008,,,,,,,,,,,,
3816,-88.37197353,21.20092956,San Martin II,Sucila,Yucatan,Mexico,4,Ref. Covarrubias; Villanueva 2008,,,,,,,,,,,,
3817,-92.5431,16.5661,San Mateo,Teopisca,Chiapas,Mexico,4,Ref. Pina Chan 1967,,,,,,,,,,,,
3818,-90.20735,20.59195,San Mateo,Halacho,Yucatan,Mexico,4,Ref. Hixson 2005,,,,,,,,,,,,
3819,-87.18071,21.12819,San Mateo,Benito Juarez,Quintana Roo,Mexico,4,Ref. Glover and Estaban 2005,,,,,,,,,,,,
3820,-93.00954291,17.21583076,San Miguel,Rayon,Chiapas,Mexico,4,Ref. Blom et al 1940,,,,,,,,,,,,
3821,-89.13563613,21.00783184,San Miguel,Tekanto,Yucatan,Mexico,4,Ref. Covarrubias; Villanueva 2008,,,,,,,,,,,,
3822,-89.14248461,20.87957814,San Miguel,Izamal,Yucatan,Mexico,4,Ref. Covarrubias; Villanueva 2008,,,,,,,,,,,,
3823,-86.97096,20.50311,San Miguel,Cozumel,Quintana Roo,Mexico,4,Ref. Muller 1959,,,,,,,,,,,,
3824,-88.2245,18.61719,San Miguel,Othon P. Blanco,Quintana Roo,Mexico,4,Ref. Muller 1959,,,,,,,,,,,,
3825,-92.93126,17.14814,San Miguel,Pueblo Nuevo Solistahuacan,Chiapas,Mexico,4,Ref. Pina Chan 1967,,,,,,,,,,,,
3826,-86.78241,21.11909,San Miguel,Benito Juarez,Quintana Roo,Mexico,4,Ref. Muller 1959,,,,,,,,,,,,
3827,-93.8069426,18.04952281,San Miguel,Huimanguillo,Tabasco,Mexico,4,Ref. Berlin 1953,,,,,,,,,,,,
3828,-88.03548226,21.17022585,San Miguel,Tizimin,Yucatan,Mexico,4,Ref. Garza and Kurjack 1980,,,,,,,,,,,,
3829,-89.54945434,21.29864674,San Miguel,Progreso,Yucatan,Mexico,4,Ref. Garza and Kurjack 1980,,,,,,,,,,,,
3830,-89.81047668,21.03956649,San Miguel Chac,Hunucma,Yucatan,Mexico,4,Ref. Robles and Andrews 2003,,,,,,,,,,,,
3831,-87.46231,19.95948,San Miguel de Ruz,Felipe Carrillo Puerto,Quintana Roo,Mexico,4,Ref. Andrews E W; Andrews A P,,,,,,,,,,,,
3832,-87.89884876,21.35170706,San Miguel Hidalgo,Tizimin,Yucatan,Mexico,4,Ref. Garza and Kurjack 1980,,,,,,,,,,,,
3833,-88.6740051,21.33626813,San Miguel II,Dzilam Gonzalez,Yucatan,Mexico,4,Ref. Covarrubias; Villanueva 2008,,,,,,,,,,,,
3834,-92.33103,16.58432,San Nicolas,Chanal,Chiapas,Mexico,4,Ref. Pina Chan 1967,,,,,,,,,,,,
3835,-92.4403,16.48386,San Nicolas,Amatenango Del Valle,Chiapas,Mexico,4,Ref. Pina Chan 1967,,,,,,,,,,,,
3836,-90.22334759,15.48006237,San Pablo Chimax,San Pedro Carcha,Alta Verapaz,Guatemala,4,Ref. Blom et al 1940,,,,,,,,,,,,
3837,-89.4445,20.16692,San Pablo I,Oxkutzcab,Yucatan,Mexico,4,Ref. Dunning 1992,,,,,,,,,,,,
3838,-89.43868,20.16158,San Pablo II,Oxkutzcab,Yucatan,Mexico,4,Ref. Dunning 1992,,,,,,,,,,,,
3839,-89.43215,20.17251,San Pablo III,Oxkutzcab,Yucatan,Mexico,4,Ref. Dunning 1992,,,,,,,,,,,,
